Code commune;Libellé;Taux AOT;Taux syndicat mixte;Date effet;Codes postaux afférents;
'02042';CA DE LA REGION DE CHATEAU-THIERRY;0.6;0;20240701;'02400';'02403';
'02043';SITU SOISSONNAIS;0.6;0;20110301;'02290';
'02043';SITU SOISSONNAIS;0;0.1;20230701;'02290';
'02051';CA DE LA REGION DE CHATEAU-THIERRY;0.3;0;20170901;'02850';
'02051';CA DE LA REGION DE CHATEAU-THIERRY;0;0.1;20230701;'02850';
'02051';CA DE LA REGION DE CHATEAU-THIERRY;0.3;0;20240701;'02850';
'02053';CA DE LA REGION DE CHATEAU-THIERRY;0.3;0;20170901;'02330';
'02053';CA DE LA REGION DE CHATEAU-THIERRY;0;0.1;20230701;'02330';
'02053';CA DE LA REGION DE CHATEAU-THIERRY;0.3;0;20240701;'02330';
'02056';CA CHAUNY-TERGNIER-LA FERE;0.6;0;20230701;'02300';
'02056';CA CHAUNY-TERGNIER-LA FERE;0.6;0;20240701;'02300';
'02059';CA CHAUNY-TERGNIER-LA FERE;0.6;0;20230701;'02800';
'02060';HAUTS-DE-FRANCE MOBILITES;0;0.1;20180901;'02590';
'02062';CA DE LA REGION DE CHATEAU-THIERRY;0.6;0;20170701;'02400';
'02062';CA DE LA REGION DE CHATEAU-THIERRY;0;0.1;20230701;'02400';
'02062';CA DE LA REGION DE CHATEAU-THIERRY;0.6;0;20240701;'02400';
'02063';HAUTS-DE-FRANCE MOBILITES;0;0.1;20180901;'02420';
'02064';SITU SOISSONNAIS;0.6;0;20110301;'02200';'02201';'02204';'02206';'02207';'02208';
'02064';SITU SOISSONNAIS;0;0.1;20230701;'02200';'02201';'02204';'02206';'02207';'02208';
'02065';HAUTS-DE-FRANCE MOBILITES;0;0.1;20180901;'02420';
'02066';HAUTS-DE-FRANCE MOBILITES;0;0.1;20180901;'02440';
'02066';HAUTS-DE-FRANCE MOBILITES;0;0.1;20240701;'02440';
'02070';HAUTS-DE-FRANCE MOBILITES;0;0.1;20180901;'02120';
'02070';HAUTS-DE-FRANCE MOBILITES;0;0.1;20240701;'02120';
'02071';COMMUNAUTE DE COMMUNES RETZ EN VALOIS;0.6;0;20200701;'02290';
'02074';CA CHAUNY-TERGNIER-LA FERE;0.6;0;20230701;'02800';
'02075';HAUTS-DE-FRANCE MOBILITES;0;0.1;20180901;'02240';
'02075';HAUTS-DE-FRANCE MOBILITES;0;0.1;20240701;'02240';
'02077';SITU SOISSONNAIS;0.6;0;20110301;'02200';'02203';
'02077';SITU SOISSONNAIS;0;0.1;20230701;'02200';'02203';
'02080';CA DU PAYS DE LAON;0.6;0;20190101;'02870';
'02080';CA DU PAYS DE LAON;0.6;0;20240701;'02870';
'02081';CA CHAUNY-TERGNIER-LA FERE;0.6;0;20230701;'02300';
'02083';CA DE LA REGION DE CHATEAU-THIERRY;0.3;0;20170901;'02130';
'02083';CA DE LA REGION DE CHATEAU-THIERRY;0;0.1;20230701;'02130';
'02083';CA DE LA REGION DE CHATEAU-THIERRY;0.3;0;20240701;'02130';
'02085';CA DE LA REGION DE CHATEAU-THIERRY;0.6;0;20170701;'02400';'02402';'02406';'02407';
'02085';CA DE LA REGION DE CHATEAU-THIERRY;0;0.1;20230701;'02400';'02402';'02406';'02407';
'02085';CA DE LA REGION DE CHATEAU-THIERRY;0.6;0;20240701;'02400';'02402';'02406';'02407';
'02086';CA CHAUNY-TERGNIER-LA FERE;0.6;0;20230701;'02300';
'02087';COMMUNAUTE DE COMMUNES RETZ EN VALOIS;0;0.1;20180901;'02290';
'02087';COMMUNAUTE DE COMMUNES RETZ EN VALOIS;0.6;0;20200701;'02290';
'02088';CA DU PAYS DE LAON;0.6;0;20190101;'02860';
'02088';CA DU PAYS DE LAON;0.6;0;20240701;'02860';
'02089';SITU SOISSONNAIS;0.6;0;20110301;'02200';'02202';'02204';'02205';'02207';
'02089';SITU SOISSONNAIS;0;0.1;20230701;'02200';'02202';'02204';'02205';'02207';
'02094';CA DE LA REGION DE CHATEAU-THIERRY;0.6;0;20170701;'02400';'02405';
'02094';CA DE LA REGION DE CHATEAU-THIERRY;0;0.1;20230701;'02400';'02405';
'02094';CA DE LA REGION DE CHATEAU-THIERRY;0.6;0;20240701;'02400';'02405';
'02098';CA DE LA REGION DE CHATEAU-THIERRY;0.6;0;20170701;'02400';
'02098';CA DE LA REGION DE CHATEAU-THIERRY;0;0.1;20230701;'02400';
'02098';CA DE LA REGION DE CHATEAU-THIERRY;0.6;0;20240701;'02400';
'02099';CA DE LA REGION DE CHATEAU-THIERRY;0.3;0;20170901;'02400';
'02099';CA DE LA REGION DE CHATEAU-THIERRY;0;0.1;20230701;'02400';
'02099';CA DE LA REGION DE CHATEAU-THIERRY;0.3;0;20240701;'02400';
'02105';CA DE LA REGION DE CHATEAU-THIERRY;0.6;0;20170701;'02400';'02406';
'02105';CA DE LA REGION DE CHATEAU-THIERRY;0;0.1;20230701;'02400';'02406';
'02105';CA DE LA REGION DE CHATEAU-THIERRY;0.6;0;20240701;'02400';'02406';
'02114';CA DE LA REGION DE CHATEAU-THIERRY;0.6;0;20170701;'02400';'02402';'02407';'02409';
'02114';CA DE LA REGION DE CHATEAU-THIERRY;0;0.1;20230701;'02400';'02402';'02407';'02409';
'02114';CA DE LA REGION DE CHATEAU-THIERRY;0.6;0;20240701;'02400';'02402';'02407';'02409';
'02117';COMMUNAUTE D'AGGLOMERATION DU SAINT QUENTINOIS;0.8;0;20220101;'02480';
'02117';COMMUNAUTE D'AGGLOMERATION DU SAINT QUENTINOIS;0;0.1;20230701;'02480';
'02117';COMMUNAUTE D'AGGLOMERATION DU SAINT QUENTINOIS;0.8;0;20240701;'02480';
'02118';SITU SOISSONNAIS;0.6;0;20110301;'02880';
'02118';SITU SOISSONNAIS;0;0.1;20230701;'02880';
'02118';SITU SOISSONNAIS;0.6;0;20240701;'02880';
'02119';CA DE LA REGION DE CHATEAU-THIERRY;0.6;0;20170701;'02210';
'02119';CA DE LA REGION DE CHATEAU-THIERRY;0;0.1;20230701;'02210';
'02119';CA DE LA REGION DE CHATEAU-THIERRY;0.6;0;20240701;'02210';
'02122';CA CHAUNY-TERGNIER-LA FERE;0.6;0;20230701;'02870';
'02122';CA CHAUNY-TERGNIER-LA FERE;0.6;0;20240701;'02870';
'02123';HAUTS-DE-FRANCE MOBILITES;0;0.1;20180901;'02240';
'02123';HAUTS-DE-FRANCE MOBILITES;0;0.1;20240701;'02240';
'02124';HAUTS-DE-FRANCE MOBILITES;0;0.1;20180901;'02240';
'02124';HAUTS-DE-FRANCE MOBILITES;0;0.1;20240701;'02240';
'02125';CA DE LA REGION DE CHATEAU-THIERRY;0.3;0;20170901;'02810';
'02125';CA DE LA REGION DE CHATEAU-THIERRY;0;0.1;20230701;'02810';
'02125';CA DE LA REGION DE CHATEAU-THIERRY;0.3;0;20240701;'02810';
'02127';CA DE LA REGION DE CHATEAU-THIERRY;0.3;0;20170901;'02130';
'02127';CA DE LA REGION DE CHATEAU-THIERRY;0;0.1;20230701;'02130';
'02127';CA DE LA REGION DE CHATEAU-THIERRY;0.3;0;20240701;'02130';
'02128';CA DU PAYS DE LAON;0.6;0;20190101;'02002';'02007';'02860';
'02128';CA DU PAYS DE LAON;0.6;0;20240701;'02002';'02007';'02860';
'02131';SITU SOISSONNAIS;0.6;0;20110301;'02206';'02880';
'02131';SITU SOISSONNAIS;0;0.1;20230701;'02206';'02880';
'02131';SITU SOISSONNAIS;0.6;0;20240701;'02206';'02880';
'02132';CA DU PAYS DE LAON;0.6;0;20190101;'02870';
'02132';CA DU PAYS DE LAON;0.6;0;20240701;'02870';
'02137';CA DE LA REGION DE CHATEAU-THIERRY;0.3;0;20170901;'02810';
'02137';CA DE LA REGION DE CHATEAU-THIERRY;0;0.1;20230701;'02810';
'02137';CA DE LA REGION DE CHATEAU-THIERRY;0.3;0;20240701;'02810';
'02138';HAUTS-DE-FRANCE MOBILITES;0;0.1;20180901;'02200';'02205';
'02138';HAUTS-DE-FRANCE MOBILITES;0;0.1;20240701;'02200';'02205';
'02139';CA CHAUNY-TERGNIER-LA FERE;0.6;0;20230701;'02300';
'02142';COMMUNAUTE D'AGGLOMERATION DU SAINT QUENTINOIS;0.8;0;20220101;'02680';
'02142';COMMUNAUTE D'AGGLOMERATION DU SAINT QUENTINOIS;0;0.1;20230701;'02680';
'02144';HAUTS-DE-FRANCE MOBILITES;0;0.1;20180901;'02490';
'02145';CA CHAUNY-TERGNIER-LA FERE;0.6;0;20230701;'02300';
'02146';CA DE LA REGION DE CHATEAU-THIERRY;0.3;0;20170901;'02330';
'02146';CA DE LA REGION DE CHATEAU-THIERRY;0;0.1;20230701;'02330';
'02146';CA DE LA REGION DE CHATEAU-THIERRY;0.3;0;20240701;'02330';
'02148';HAUTS-DE-FRANCE MOBILITES;0;0.1;20180901;'02370';
'02148';HAUTS-DE-FRANCE MOBILITES;0;0.1;20240701;'02370';
'02149';HAUTS-DE-FRANCE MOBILITES;0;0.1;20180901;'02240';
'02149';HAUTS-DE-FRANCE MOBILITES;0;0.1;20240701;'02240';
'02150';CA DU PAYS DE LAON;0.6;0;20230101;'02860';
'02150';CA DU PAYS DE LAON;0.6;0;20240701;'02860';
'02151';CA DU PAYS DE LAON;0.6;0;20190101;'02870';
'02151';CA DU PAYS DE LAON;0.6;0;20240701;'02870';
'02153';CA DU PAYS DE LAON;0.6;0;20190101;'02320';
'02153';CA DU PAYS DE LAON;0.6;0;20240701;'02320';
'02154';HAUTS-DE-FRANCE MOBILITES;0;0.1;20180901;'02200';
'02154';HAUTS-DE-FRANCE MOBILITES;0;0.1;20240701;'02200';
'02157';CA DU PAYS DE LAON;0.6;0;20190101;'02000';'02002';'02003';'02004';'02007';'02012';'02930';
'02157';CA DU PAYS DE LAON;0.6;0;20240701;'02000';'02002';'02003';'02004';'02007';'02012';'02930';
'02158';CA DU PAYS DE LAON;0.6;0;20230101;'02007';'02860';
'02158';CA DU PAYS DE LAON;0.6;0;20240701;'02007';'02860';
'02164';CA DE LA REGION DE CHATEAU-THIERRY;0.3;0;20170901;'02850';
'02164';CA DE LA REGION DE CHATEAU-THIERRY;0;0.1;20230701;'02850';
'02164';CA DE LA REGION DE CHATEAU-THIERRY;0.3;0;20240701;'02850';
